big_ups_rpt.txt

This report shows that Mean-Reversion is comparatively weak
when stocks move sharply up.



dan@ub97hp_scikit ~/hr $ ./psql.bash -f big_ups_rpt.sql 
--
-- big_ups_rpt.sql
--
-- I use this script to study Mean-Reversion in the Stock Market.
-- Now I am ready to report.
\C 'Next day summary of stocks which upped 2% or more the day before:'
Title is "Next day summary of stocks which upped 2% or more the day before:".
SELECT 
tkr ticker
,COUNT(ydate) event_count
,MIN(ydate)   min_date
,MAX(ydate)   max_date
,ROUND(100*AVG(nlg1),3)    avg_day1_pct_up
,ROUND(100*AVG(ng),3)      avg_day1_pct_gain
FROM td12
WHERE nlg1 > 2.0/ 100.0
AND ydate > '2008-01-01'
AND ng IS NOT NULL
GROUP BY tkr ORDER BY AVG(ng)
;
          Next day summary of stocks which upped 2% or more the day before:
 ticker | event_count |  min_date  |  max_date  | avg_day1_pct_up | avg_day1_pct_gain 
 SLV    |         245 | 2008-01-02 | 2014-01-10 |           3.303 |            -0.095
 AL     |          74 | 2011-04-21 | 2014-01-21 |           3.079 |            -0.093
 VRTX   |         308 | 2008-01-08 | 2014-01-30 |           4.036 |            -0.090
 DLB    |         212 | 2008-01-07 | 2014-01-10 |           3.691 |            -0.088
 IPCM   |         258 | 2008-01-28 | 2013-12-20 |           3.927 |            -0.088
 MO     |          56 | 2008-01-07 | 2013-10-10 |           3.117 |            -0.088
 WEX    |         257 | 2008-01-07 | 2014-01-28 |           3.837 |            -0.087
 CMG    |         247 | 2008-01-10 | 2013-12-20 |           3.893 |            -0.086
 SPLS   |         222 | 2008-01-16 | 2014-01-07 |           3.506 |            -0.085
 TJX    |         162 | 2008-01-10 | 2013-10-29 |           3.341 |            -0.085
 TSO    |         375 | 2008-01-14 | 2014-01-09 |           4.140 |            -0.082
 USO    |         202 | 2008-01-02 | 2014-01-15 |           3.428 |            -0.081
 EBAY   |         222 | 2008-01-23 | 2014-01-07 |           3.741 |            -0.081
 VMW    |         310 | 2008-01-08 | 2014-01-14 |           4.046 |            -0.080
 AMX    |         200 | 2008-01-10 | 2013-12-18 |           3.556 |            -0.075
 CERN   |         202 | 2008-01-07 | 2014-01-30 |           3.404 |            -0.074
 COST   |         101 | 2008-01-09 | 2014-01-09 |           3.252 |            -0.073
 WWW    |         208 | 2008-01-09 | 2013-11-22 |           3.473 |            -0.072
 GIS    |          53 | 2008-01-28 | 2013-12-06 |           3.024 |            -0.071
 ROK    |         240 | 2008-01-14 | 2014-01-14 |           3.715 |            -0.070
